Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,Gender_Male,Married_Yes,Education_Not_Graduate,SelfEmployed_Yes,PropertyArea_Semiurban,PropertyArea_Urban,LoanStatus_Y
1003.0,1.0,4583.0,1508.0,128.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1005.0,0.0,3000.0,0.0,66.0,360.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
1006.0,0.0,2583.0,2358.0,120.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
1008.0,0.0,6000.0,0.0,141.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1011.0,2.0,5417.0,4196.0,267.0,360.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
1013.0,0.0,2333.0,1516.0,95.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
1014.0,3.0,3036.0,2504.0,158.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1018.0,2.0,4006.0,1526.0,168.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1020.0,1.0,12841.0,10968.0,349.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1024.0,2.0,3200.0,700.0,70.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1027.0,2.0,2500.0,1840.0,109.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1028.0,2.0,3073.0,8106.0,200.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1029.0,0.0,1853.0,2840.0,114.0,360.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1030.0,2.0,1299.0,1086.0,17.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1032.0,0.0,4950.0,0.0,125.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1034.0,1.0,3596.0,0.0,100.0,240.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1036.0,0.0,3510.0,0.0,76.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1038.0,0.0,4887.0,0.0,133.0,360.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1041.0,0.0,2600.0,3500.0,115.0,343.06371835353764,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1043.0,0.0,7660.0,0.0,104.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
1046.0,1.0,5955.0,5625.0,315.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1047.0,0.0,2600.0,1911.0,116.0,360.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
1050.0,2.0,3365.0,1917.0,112.0,360.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1052.0,1.0,3717.0,2925.0,151.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1066.0,0.0,9560.0,0.0,191.0,360.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
1068.0,0.0,2799.0,2253.0,122.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1073.0,2.0,4226.0,1040.0,110.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
1086.0,0.0,1442.0,0.0,35.0,360.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1087.0,2.0,3750.0,2083.0,120.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1091.0,1.0,4166.0,3369.0,201.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1095.0,0.0,3167.0,0.0,74.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1097.0,1.0,4692.0,0.0,106.0,360.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1098.0,0.0,3500.0,1667.0,114.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1100.0,3.0,12500.0,3000.0,320.0,360.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1109.0,0.0,1828.0,1330.0,100.0,343.06371835353764,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1112.0,0.0,3667.0,1459.0,144.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1114.0,0.0,4166.0,7210.0,184.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1116.0,0.0,3748.0,1668.0,110.0,360.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1119.0,0.0,3600.0,0.0,80.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1120.0,0.0,1800.0,1213.0,47.0,360.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1123.0,0.0,2400.0,0.0,75.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1131.0,0.0,3941.0,2336.0,134.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1136.0,0.0,4695.0,0.0,96.0,343.06371835353764,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1137.0,0.0,3410.0,0.0,88.0,343.06371835353764,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1138.0,1.0,5649.0,0.0,44.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1144.0,0.0,5821.0,0.0,144.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1146.0,0.0,2645.0,3440.0,120.0,360.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1151.0,0.0,4000.0,2275.0,144.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
